symbol,pattern,dir,entry_time,entry_price,exit_time,exit_price,lot,pnl_pt,pnl_money,reason,duration_d
USDCHF,0,SELL,2014.06.06 00:00,0.89134,2014.07.04 00:00,0.89333,0.19,-199.0,-35.54,,28.0
USDCHF,1,SELL,2014.06.04 00:00,0.89627,2014.07.04 00:00,0.89333,0.19,294.0,40.87,,30.0
USDCHF,0,SELL,2014.06.04 00:00,0.89627,2014.07.04 00:00,0.89333,0.19,294.0,40.87,,30.0
USDCHF,1,SELL,2014.06.02 00:00,0.89528,2014.07.04 00:00,0.89333,0.19,195.0,25.08,,32.0
USDCHF,0,SELL,2014.06.02 00:00,0.89528,2014.07.04 00:00,0.89333,0.19,195.0,25.08,,32.0
USDCHF,0,SELL,2014.08.11 00:00,0.90550,2015.01.15 11:43,0.84414,0.19,6136.0,944.21,tp 0.85550,157.5
USDCHF,0,SELL,2014.08.15 00:00,0.90657,2015.01.15 11:43,0.84414,0.18,6243.0,911.46,tp 0.85657,153.5
USDCHF,1,SELL,2014.08.18 00:00,0.90333,2015.01.15 11:43,0.84414,0.19,5919.0,911.03,tp 0.85333,150.5
USDCHF,1,SELL,2014.07.09 00:00,0.89291,2015.01.15 11:54,0.82770,0.19,6521.0,999.80,tp 0.84291,190.5
USDCHF,0,SELL,2014.07.15 00:00,0.89175,2015.01.15 11:54,0.82770,0.19,6405.0,982.43,tp 0.84175,184.5
USDCHF,1,SELL,2014.07.15 00:00,0.89175,2015.01.15 11:54,0.82770,0.19,6405.0,982.43,tp 0.84175,184.5
USDCHF,1,SELL,2015.01.19 00:00,0.86088,2015.02.27 00:00,0.95284,0.19,-9196.0,-1645.38,,39.0
USDCHF,0,SELL,2015.01.19 00:00,0.86088,2015.02.27 00:00,0.95284,0.19,-9196.0,-1645.38,,39.0
USDCHF,1,SELL,2015.03.23 00:00,0.97423,2015.03.26 00:00,0.96036,0.18,1387.0,236.14,,3.0
USDCHF,1,SELL,2015.04.16 00:01,0.96445,2015.04.23 00:01,0.97140,0.18,-695.0,-121.28,,7.0
USDCHF,0,SELL,2015.04.16 00:01,0.96445,2015.04.23 00:01,0.97140,0.18,-695.0,-121.28,,7.0
USDCHF,1,SELL,2015.06.03 00:00,0.93277,2015.07.10 00:00,0.94796,0.18,-1519.0,-268.02,,37.0
USDCHF,0,SELL,2015.06.03 00:00,0.93277,2015.07.10 00:00,0.94796,0.18,-1519.0,-268.02,,37.0
USDCHF,1,SELL,2015.05.22 00:00,0.93671,2015.07.10 00:00,0.94796,0.18,-1125.0,-201.94,,49.0
USDCHF,0,SELL,2015.05.14 00:00,0.91659,2015.07.10 00:00,0.94796,0.19,-3137.0,-580.00,,57.0
USDCHF,1,SELL,2015.04.24 00:01,0.95456,2015.07.10 00:00,0.94796,0.18,660.0,100.37,,77.0
USDCHF,0,SELL,2015.04.24 00:01,0.95456,2015.07.10 00:00,0.94796,0.18,660.0,100.37,,77.0
USDCHF,1,SELL,2015.08.20 00:01,0.96455,2015.08.28 00:01,0.96657,0.18,-202.0,-34.82,,8.0
