symbol,pattern,dir,entry_time,entry_price,exit_time,exit_price,lot,pnl_pt,pnl_money,reason,duration_d
EURUSD,3,SELL,2019.05.29 00:00,1.11594,2019.05.29 16:08,1.11474,1.99,120.0,214.22,tp 1.11474,0.7
EURUSD,0,SELL,2019.05.29 00:00,1.11594,2019.05.29 16:14,1.11444,1.99,150.0,267.85,tp 1.11444,0.7
EURUSD,3,SELL,2019.06.13 00:00,1.12865,2019.06.13 15:54,1.12743,4.19,122.0,453.40,tp 1.12745,0.7
EURUSD,0,SELL,2019.06.17 00:02,1.12088,2019.06.18 11:19,1.11938,2.77,150.0,368.72,tp 1.11938,1.5
EURUSD,3,SELL,2019.06.27 00:00,1.13684,2019.06.27 07:07,1.13564,5.00,120.0,528.34,tp 1.13564,0.3
EURUSD,0,SELL,2019.07.02 00:00,1.12850,2019.07.03 10:14,1.12700,4.95,150.0,654.44,tp 1.12700,1.4
EURUSD,3,SELL,2019.07.08 00:05,1.12240,2019.07.08 17:18,1.12119,3.42,121.0,369.09,tp 1.12120,0.7
EURUSD,3,SELL,2019.07.16 00:00,1.12574,2019.07.16 10:49,1.12454,4.59,120.0,489.80,tp 1.12454,0.5
EURUSD,3,SELL,2019.07.22 00:05,1.12140,2019.07.23 04:06,1.12018,3.64,122.0,393.19,tp 1.12020,1.2
EURUSD,3,SELL,2019.08.01 00:00,1.10749,2019.08.01 03:12,1.10628,2.11,121.0,230.78,tp 1.10629,0.1
EURUSD,3,SELL,2019.08.09 00:00,1.11802,2019.08.12 10:46,1.11681,3.48,121.0,373.93,tp 1.11682,3.4
EURUSD,0,SELL,2019.08.09 00:00,1.11802,2019.08.12 11:03,1.11652,3.48,150.0,464.41,tp 1.11652,3.5
EURUSD,3,SELL,2019.08.14 00:00,1.11710,2019.08.14 16:59,1.11590,3.46,120.0,372.08,tp 1.11590,0.7
EURUSD,0,SELL,2019.08.14 00:00,1.11710,2019.08.14 16:59,1.11559,3.46,151.0,468.33,tp 1.11560,0.7
EURUSD,3,SELL,2019.08.22 00:00,1.10844,2019.08.22 12:40,1.10724,2.45,120.0,265.53,tp 1.10724,0.5
EURUSD,0,SELL,2019.08.27 00:00,1.11018,2019.08.27 19:15,1.10868,2.68,150.0,362.59,tp 1.10868,0.8
EURUSD,3,SELL,2019.08.28 00:00,1.10901,2019.08.28 16:01,1.10778,2.60,123.0,288.69,tp 1.10781,0.7
EURUSD,3,SELL,2019.09.12 00:00,1.10102,2019.09.12 14:48,1.09982,2.14,120.0,233.49,tp 1.09982,0.6
EURUSD,0,SELL,2019.09.19 00:00,1.10298,2019.09.20 16:21,1.10148,2.33,150.0,315.19,tp 1.10148,1.7
EURUSD,3,SELL,2019.09.23 00:05,1.10120,2019.09.23 10:29,1.09997,2.27,123.0,253.83,tp 1.10000,0.4
EURUSD,3,SELL,2019.09.17 00:00,1.09998,2019.09.23 10:30,1.09878,2.11,120.0,218.97,tp 1.09878,6.4
