datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2012.12.17 00:00,1.31821,1.31863,1.31437,1.31593,1.29716,1.28494,1.26955,1.28633,1.29716,1.30460,1.30947,1.31320,1.4467,2.4118,3.6531,2.3008,1.4467,0.8682,0.4932,0.2079,1,1,1,1,1,1,1,1,1.30909,1.28028,0.028817,0.002352,4,1,1,1,0,1.4285,0.4366,0.0678,0.0494,0,0,0,0,0,0,0,0,1,1,1,1,1,0
2012.12.18 00:00,1.31594,1.32376,1.31558,1.32235,1.29935,1.28501,1.26996,1.28736,1.29935,1.30590,1.31379,1.31817,1.7699,2.9059,4.1253,2.7181,1.7699,1.2594,0.6519,0.3174,1,1,1,1,1,1,1,1,1.31262,1.28078,0.031843,0.003027,4,1,1,1,0,1.4227,0.4818,0.2584,0.0517,0,0,0,0,0,0,0,0,1,1,1,1,1,0
2012.12.19 00:00,1.32237,1.33076,1.31889,1.31986,1.30125,1.28507,1.27046,1.28834,1.30125,1.30719,1.31636,1.31938,1.4300,2.7076,3.8880,2.4467,1.4300,0.9693,0.2657,0.0364,1,1,1,1,1,1,1,1,1.31431,1.28129,0.033021,0.001177,4,1,1,1,0,1.4171,0.4878,0.3254,0.0476,0,0,0,0,0,0,0,0,1,1,1,1,1,0
2012.12.20 00:00,1.31988,1.32942,1.31988,1.32454,1.30322,1.28514,1.27099,1.28923,1.30322,1.31007,1.31978,1.32225,1.6363,3.0655,4.2132,2.7389,1.6363,1.1044,0.3607,0.1732,1,1,1,1,1,1,1,1,1.31737,1.28179,0.035580,0.002559,4,1,1,1,0,1.4120,0.6336,0.2668,0.0419,0,0,0,0,0,0,0,0,1,1,1,1,1,0
2012.12.21 00:00,1.32461,1.32464,1.31570,1.31867,1.30485,1.28519,1.27152,1.28998,1.30485,1.31268,1.32027,1.32102,1.0590,2.6047,3.7080,2.2237,1.0590,0.4565,-0.1212,-0.1781,1,1,1,1,1,0,0,1,1.31799,1.28223,0.035757,0.000177,4,1,1,1,0,1.4070,0.6965,0.0410,0.0371,0,0,0,0,0,-1,-1,0,1,1,1,1,1,0
2012.12.24 00:00,1.31790,1.32326,1.31706,1.31870,1.30625,1.28524,1.27206,1.29070,1.30625,1.31515,1.32082,1.32064,0.9533,2.6033,3.6664,2.1693,0.9533,0.2701,-0.1608,-0.1466,1,1,1,1,1,0,0,1,1.31887,1.28267,0.036202,0.000445,2,1,1,1,0,1.4016,0.5663,0.0525,0.0366,0,0,0,0,0,0,0,0,0,1,1,1,1,0
2012.12.26 00:00,1.31867,1.32534,1.31826,1.32203,1.30737,1.28535,1.27264,1.29152,1.30737,1.31727,1.32076,1.31980,1.1212,2.8537,3.8806,2.3626,1.1212,0.3611,0.0962,0.1690,1,1,1,1,1,1,1,1,1.31928,1.28317,0.036107,-0.000094,2,1,1,1,0,1.3955,0.3230,0.0400,0.0371,0,0,0,0,0,1,1,0,0,1,1,1,1,0
2012.12.27 00:00,1.32204,1.32833,1.32014,1.32342,1.30847,1.28546,1.27326,1.29236,1.30847,1.31892,1.32147,1.32138,1.1428,2.9530,3.9395,2.4031,1.1428,0.3414,0.1474,0.1541,1,1,1,1,1,1,1,1,1.32059,1.28369,0.036896,0.000789,2,1,1,1,0,1.3890,0.3124,0.0607,0.0339,0,0,0,0,0,0,0,0,0,1,1,1,1,0
2012.12.28 00:00,1.32344,1.32562,1.31654,1.32146,1.30973,1.28556,1.27369,1.29311,1.30973,1.32032,1.32086,1.32230,0.8957,2.7926,3.7509,2.1923,0.8957,0.0865,0.0457,-0.0638,1,1,1,1,1,1,0,1,1.32116,1.28412,0.037040,0.000144,4,1,1,1,0,1.3823,0.2120,0.0735,0.0296,0,0,0,0,0,0,-1,0,1,1,1,1,1,0
2012.12.31 00:00,1.32157,1.32338,1.31716,1.31964,1.31085,1.28566,1.27416,1.29388,1.31085,1.32066,1.32105,1.32151,0.6705,2.6429,3.5695,1.9911,0.6705,-0.0772,-0.1067,-0.1413,1,1,1,1,0,0,0,1,1.32107,1.28457,0.036506,-0.000534,4,1,1,1,0,1.3752,0.2074,0.0842,0.0277,0,0,0,0,-1,-1,0,0,1,1,1,1,1,0
