datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2022.10.04 00:00,0.99133,0.99414,0.97852,0.97940,0.97375,0.94490,0.96730,0.96802,0.97375,0.98199,0.98201,0.98635,0.5799,3.6507,1.2510,1.1761,0.5799,-0.2638,-0.2660,-0.7050,1,1,1,1,0,0,0,1,0.98345,0.96007,0.023379,-0.000104,6,1,1,1,0,0.7618,0.1275,0.0015,0.0409,0,0,0,0,-1,-1,-1,0,1,1,1,1,1,1
2022.10.05 00:00,0.97906,0.98888,0.97847,0.98340,0.97392,0.94512,0.96768,0.96816,0.97392,0.98367,0.98353,0.98510,0.9734,4.0507,1.6243,1.5739,0.9734,-0.0270,-0.0136,-0.1726,1,1,1,1,0,0,0,1,0.98410,0.96032,0.023780,0.000401,4,1,1,1,0,0.7639,0.1140,0.1446,0.0418,0,0,0,0,0,0,0,0,1,0,1,1,1,1
2022.10.06 00:00,0.98257,0.99138,0.97808,0.99048,0.97420,0.94536,0.96812,0.96837,0.97420,0.98501,0.98659,0.98443,1.6713,4.7726,2.3096,2.2835,1.6713,0.5556,0.3945,0.6149,1,1,1,1,1,1,1,1,0.98534,0.96062,0.024725,0.000945,4,1,1,1,0,0.7662,0.2217,0.2181,0.0420,0,0,0,0,1,1,1,0,0,1,1,1,1,1
2022.10.07 00:00,0.99032,0.99535,0.98701,0.99442,0.97502,0.94562,0.96861,0.96855,0.97502,0.98632,0.98804,0.98943,1.9893,5.1607,2.6643,2.6709,1.9893,0.8208,0.6457,0.5040,1,1,1,1,1,1,1,1,0.98793,0.96093,0.027005,0.002280,4,1,1,1,0,0.7691,0.2238,0.0353,0.0431,0,0,0,0,0,0,0,0,1,1,1,1,0,1
2022.10.10 00:00,0.99294,1.00103,0.99294,0.99979,0.97637,0.94589,0.96913,0.96877,0.97637,0.98700,0.98950,0.99490,2.3985,5.6987,3.1635,3.2019,2.3985,1.2959,1.0401,0.4918,1,1,1,1,1,1,1,1,0.99046,0.96126,0.029201,0.002197,4,1,1,1,0,0.7725,0.2607,0.0103,0.0486,0,0,0,0,0,0,0,0,1,1,1,1,0,1
2022.10.11 00:00,0.99974,1.00212,0.99158,0.99674,0.97802,0.94617,0.96962,0.96888,0.97802,0.98749,0.99297,0.99698,1.9143,5.3450,2.7970,2.8755,1.9143,0.9368,0.3801,-0.0244,1,1,1,1,1,1,0,1,0.99248,0.96156,0.030924,0.001722,4,1,1,1,0,0.7763,0.4380,0.0240,0.0550,0,0,0,0,0,0,-1,0,1,1,1,1,0,1
2022.10.12 00:00,0.99624,1.00044,0.99311,0.99755,0.98001,0.94645,0.97005,0.96888,0.98001,0.98966,0.99580,0.99803,1.7899,5.3987,2.8351,2.9590,1.7899,0.7967,0.1761,-0.0478,1,1,1,1,1,1,0,1,0.99450,0.96179,0.032701,0.001778,4,1,1,1,0,0.7805,0.6099,0.0287,0.0657,0,0,0,0,0,0,0,0,1,1,1,1,0,1
2022.10.13 00:00,0.99777,1.00737,0.99589,1.00100,0.98180,0.94675,0.97050,0.96888,0.98180,0.99224,0.99790,0.99843,1.9560,5.7296,3.1430,3.3156,1.9560,0.8824,0.3107,0.2574,1,1,1,1,1,1,1,1,0.99619,0.96204,0.034148,0.001447,4,1,1,1,0,0.7851,0.7347,0.0260,0.0712,0,0,0,0,0,0,1,0,1,1,1,1,0,1
2022.10.14 00:00,0.99881,1.00661,0.99648,1.00541,0.98376,0.94707,0.97097,0.96900,0.98376,0.99407,1.00010,1.00132,2.2002,6.1600,3.5472,3.7570,2.2002,1.1409,0.5311,0.4085,1,1,1,1,1,1,1,1,0.99850,0.96235,0.036148,0.002000,4,1,1,1,0,0.7900,0.7852,0.0302,0.0763,0,0,0,0,0,0,0,0,1,1,1,1,0,1
2022.10.17 00:00,1.00457,1.00557,0.99434,0.99594,0.98533,0.94735,0.97131,0.96934,0.98533,0.99441,0.99933,1.00078,1.0767,5.1288,2.5359,2.7436,1.0767,0.1536,-0.3390,-0.4840,1,1,1,1,1,0,0,1,0.99817,0.96267,0.035506,-0.000642,4,1,1,1,0,0.7948,0.5917,0.0299,0.0758,0,0,0,0,0,-1,-1,0,1,1,1,1,0,1
