datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,cluPct,velPct,accPct,volPct,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2018.11.13 00:00,1.28469,1.30474,1.28370,1.29682,1.29955,1.34324,1.30979,1.30004,1.29708,1.29853,1.29955,1.29300,-0.2102,-3.4561,-0.9905,-0.2474,-0.0197,-0.1319,-0.2102,0.2954,0,0,0,0,0,0,1,0,1.29703,1.31769,-0.020663,-0.000797,-2,1,1,0,1,0.7087,-0.1058,-0.0008,0.0571,0.060,0.183,0.020,0.726,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2018.11.14 00:00,1.29696,1.30715,1.28808,1.29895,1.29975,1.34318,1.30941,1.29975,1.29634,1.30077,1.29680,1.29358,-0.0619,-3.2926,-0.7987,-0.0619,0.2013,-0.1402,0.1659,0.4149,0,0,0,1,0,1,1,0,1.29705,1.31745,-0.020394,0.000269,-4,1,1,0,0,0.7324,-0.1623,-0.0327,0.0537,0.075,0.262,0.329,0.667,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2018.11.15 00:00,1.29862,1.30302,1.27232,1.27706,1.29851,1.34302,1.30884,1.29936,1.29445,1.29851,1.29100,1.29094,-1.6519,-4.9114,-2.4278,-1.7160,-1.3437,-1.6519,-1.0799,-1.0754,0,0,0,0,0,0,0,0,1.29349,1.31707,-0.023587,-0.003192,-4,1,0,0,1,0.8231,-0.1792,-0.0995,0.0567,0.115,0.306,0.595,0.722,0,0,0,-1,0,-1,-1,0,0,0,1,0,0,0
2018.11.16 00:00,1.27722,1.28776,1.27600,1.28247,1.29710,1.34288,1.30834,1.29908,1.29314,1.29710,1.28806,1.28616,-1.1276,-4.4985,-1.9772,-1.2784,-0.8250,-1.1276,-0.4337,-0.2869,0,0,0,0,0,0,0,0,1.29044,1.31677,-0.026328,-0.002741,-4,1,0,0,1,0.9135,-0.1839,-0.4124,0.0568,0.151,0.313,0.901,0.722,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018.11.19 00:00,1.28438,1.28841,1.27937,1.28514,1.29518,1.34274,1.30789,1.29889,1.29239,1.29518,1.28809,1.28156,-0.7754,-4.2896,-1.7398,-1.0586,-0.5608,-0.7754,-0.2289,0.2796,0,0,0,0,0,0,1,0,1.28828,1.31651,-0.028232,-0.001904,-4,1,0,0,1,0.9650,-0.1765,-0.1933,0.0544,0.194,0.306,0.738,0.671,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018.11.20 00:00,1.28458,1.28830,1.27765,1.27864,1.29200,1.34257,1.30740,1.29850,1.29112,1.29200,1.28445,1.28208,-1.0342,-4.7615,-2.1997,-1.5291,-0.9666,-1.0342,-0.4525,-0.2686,0,0,0,0,0,0,0,0,1.28618,1.31615,-0.029974,-0.001742,-4,1,0,0,1,1.0040,-0.4591,-0.0287,0.0546,0.218,0.794,0.302,0.679,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
2018.11.21 00:00,1.27868,1.28196,1.27643,1.27771,1.29026,1.34239,1.30696,1.29813,1.29026,1.28850,1.28020,1.28050,-0.9731,-4.8181,-2.2379,-1.5727,-0.9731,-0.8375,-0.1948,-0.2176,0,0,0,0,0,0,0,0,1.28307,1.31582,-0.032757,-0.002782,-4,0,0,0,1,1.0880,-0.4686,-0.0330,0.0519,0.286,0.810,0.337,0.595,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018.11.22 00:00,1.27743,1.29274,1.27678,1.28759,1.28978,1.34222,1.30657,1.29782,1.28978,1.28666,1.28231,1.28131,-0.1694,-4.0698,-1.4526,-0.7881,-0.1694,0.0726,0.4118,0.4899,0,0,0,0,1,1,1,0,1.28343,1.31553,-0.032108,0.000649,-6,0,0,0,1,1.0669,-0.3614,0.0096,0.0487,0.270,0.702,0.127,0.540,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2018.11.23 00:00,1.28750,1.28827,1.27979,1.28049,1.28944,1.34202,1.30619,1.29737,1.28944,1.28498,1.28191,1.28193,-0.6941,-4.5850,-1.9676,-1.3014,-0.6941,-0.3498,-0.1111,-0.1123,0,0,0,0,0,0,0,0,1.28294,1.31520,-0.032253,-0.000145,-4,0,0,0,1,1.0720,-0.2861,0.0201,0.0457,0.278,0.567,0.206,0.496,0,0,0,0,-1,-1,-1,0,1,0,0,0,0,0
2018.11.26 00:00,1.28228,1.28641,1.27952,1.28080,1.28940,1.34182,1.30581,1.29703,1.28940,1.28457,1.28105,1.28296,-0.6667,-4.5476,-1.9150,-1.2512,-0.6667,-0.2933,-0.0192,-0.1684,0,0,0,0,0,0,0,0,1.28286,1.31488,-0.032027,0.000225,-4,0,0,0,1,1.0645,-0.1597,0.0170,0.0457,0.266,0.254,0.183,0.496,0,0,0,0,0,0,0,0,1,0,0,0,0,0
